season,HT,plot,shdi,ReS,GrE,CrO,UcN,PuU,CoM,InS,Wa,prd,REI,RE,RN,RRatio,FDE,FDN,CoverageE,CoverageN,HeightE,HeightN,LeafSE,LeafSN,InDE,InDN,InNE,InNN,FlowerDE,FlowerDN,FruitLE,FruitLN,SeedE,SeedN,shapeReS,shapeGrE,shapeCrO,shapeUcN,shapePuU,shapeCoM,shapeInS,shapeWa,pdReS,pdGrE,pdCrO,pdUcN,pdPuU,pdCoM,pdInS,pdWa,areaReS,areaGrE,areaCrO,areaUcN,areaPuU,areaCoM,areaInS,areaWa,contigReS,contigGrE,contigCrO,contigUcN,contigPuU,contigCoM,contigInS,contigWa,CoverEbox,RRatiobox,HeightEbox,LeafSEbox,InDEbox,InNEbox,FlowerDEbox,FruitLEbox,SeedEbox
spring,R,A28,1.573665786,15.30966101,71.63961831,27.79864524,18.93826125,13.36275725,2.57247459,126.1000994,9.914338778,2.800768824,0,2,12,0.142857143,0.103276282,0.194200716,6,217,0.143333333,0.513953488,2.937777778,43.91253333,6,12.41666667,8.666666667,84.33333333,13.16666667,4.214285714,18,5.071428571,0.1183,3.7065625,1.563696252,1.946168066,1.557002354,1.556163175,1.532647072,1.683682257,1.676325968,2.986453998,1.750480515,8.752402576,5.251441546,2.800768824,2.100576618,0.350096103,2.450672721,1.750480515,132.8085678,129.8802291,112.4220117,119.7183425,137.7496996,NA,226.8001249,124.5086003,1.588091786,21.40068731,2.190171299,8.329586031,1.976410097,NA,1.884439147,3.576851829,1.807907781,-2.5328394,-1.961573264,1.294161216,1.729058272,2.357241422,2.062368489,3.975610178,-2.820462182
spring,W,A31,1.359373991,6.790826382,62.36061925,30.56866851,12.41336578,6.926505421,2.57247459,160.5162636,9.56410595,2.742423092,1,1,11,0.083333333,0,0.153541743,5,162,0.8,1.654583333,6.666666667,31.71377778,20,23.40666667,100,287.04,3,9.993333333,6.9,3.673333333,0.047875,1.193910959,1.570749423,1.892407316,1.588480707,1.487792057,1.476804716,1.683682257,1.61188608,2.856155363,1.714014433,8.570072164,5.142043298,2.742423092,1.714014433,0.342802887,2.056817319,1.714014433,67.67302626,130.5787425,127.0070621,137.0810185,99.74933045,NA,217.5487783,128.0759835,1.180040674,2.301101508,2.712063809,2.472114061,1.61859402,NA,1.372861763,3.613039775,1.622459127,-3.492455615,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,W,A32,1.386106982,8.303919031,64.46382527,31.41277305,12.20930451,6.91167118,2.57247459,155.8239397,9.619462998,2.746145893,0,1,11,0.083333333,0,0.207652783,3,191,0.35,1.27779661,5.133333333,25.87661692,6,23.03731343,160,224.9402985,2,7.731343284,2,7.340298507,0.34,2.726019104,1.390356724,1.917645398,1.589022247,1.490416711,1.47802469,1.683682257,1.614838567,2.867073179,2.402877656,8.924974151,5.149023549,2.746145893,1.716341183,0.343268237,2.059609419,1.716341183,119.2375674,133.5746659,128.7016947,138.5759304,99.90026166,NA,216.7007524,127.8136544,68.32943511,12.93747772,2.27873567,2.459657512,1.618652542,NA,1.352791512,3.605162149,1.104669194,-3.492455615,-1.055352092,2.168673824,1.729058272,6.26029277,0.651650021,0.746134209,-1.238298734
spring,FR,A34,1.250534005,3.780198947,55.51733031,24.38857872,13.54293901,7.259009521,2.57247459,178.3712634,7.618287618,2.729908807,0,2,11,0.153846154,0.116945852,0.140988484,30,152,0.17,0.710434783,9.133333333,19.36623188,6,11.94565217,6,60.5,18,5.706521739,7,6.073913043,0.33,0.265726667,1.347899839,1.850157327,1.606917977,1.453260211,1.47797355,1.683682257,1.609618888,2.407047085,1.706193004,8.18972642,4.436101811,3.071147408,2.047431605,0.341238601,2.047431605,2.388670206,87.52824004,132.2157265,109.7223102,142.7235957,95.9877566,NA,220.3046826,190.2100994,55.91514189,18.87437608,2.222546235,2.359158006,1.808224152,NA,1.401150745,45.86287478,3.459699473,-2.411105053,-1.787749137,3.257424759,1.729058272,1.926537635,2.253545101,2.403674325,-1.277539669
spring,FR,A37,1.691505593,42.81487772,81.3394033,57.43890732,17.72691878,8.085747135,0,59.90211505,8.000359793,2.542603786,1,3,15,0.166666667,0.15728669,0.166516503,12,117,0.664333333,0.162439024,14.61111111,3.055325203,9.083333333,7.004166667,48.33333333,22.175,9.5,4.817073171,12.3,4.302439024,0.312291667,0.549955263,1.576931664,2.038419823,1.694592208,1.556787404,1.364934996,0,1.622729673,3.006979363,3.632291123,7.627811359,5.811665798,2.905832899,1.452916449,0,1.452916449,1.452916449,98.1921355,145.1187345,119.0152294,99.79116874,102.2438908,0,169.2286015,127.6989466,3.106024623,13.15061308,1.785383357,2.055375268,52.31397383,0,2.044153336,4.038856683,2.51603778,-2.282230251,-0.409808677,4.311986911,2.111875951,4.547070326,1.850990328,3.304142803,-1.350814464
spring,FR,A38,1.68813004,34.21716834,76.559883,59.25664464,19.49725889,8.576724353,0,70.1109678,7.707293068,2.536912621,1,1,10,0.090909091,0,0.143096811,8,146,0.8,0.57244898,6.666666668,30.29971264,20,14.11403509,100,90.77192982,3,4.494736842,6.9,3.838596491,0.047875,2.913836842,1.59011247,2.121389916,1.698350787,1.606025045,1.596820038,0,1.374697695,2.936809581,3.624160888,6.885905687,5.79865742,2.89932871,1.812080444,0,1.812080444,1.449664355,108.7076546,128.1390026,120.3346878,84.83502158,111.4992648,0,203.2267695,140.3145145,5.111428344,2.261510788,1.770738182,1.945952725,7.561886772,0,57.37562192,3.976001703,2.101212571,-3.328298414,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,FR,A39,1.696712091,34.17375105,73.76453298,59.51425391,19.72881778,9.709553881,0,71.40588855,7.494186523,2.538154033,1,2,11,0.153846154,0.121704113,0.175623462,35,228,0.630857143,0.2990625,8.952380951,16.06126126,15.21428571,9.226027397,82.85714286,60.49315068,4.857142857,5.516438356,7.785714286,6.160958904,0.196767857,2.795396712,1.527925684,2.085374175,1.699525611,1.55057378,1.371301005,0,1.401237352,2.934491868,3.2633409,7.251868666,5.801494933,4.351121199,1.812967166,0,1.0877803,1.450373733,104.2166998,132.5954712,121.7760097,118.3912266,88.63457166,0,156.8292294,147.1453675,15.32729303,7.034083951,1.766096041,36.87468272,1.457210011,0,1.391897667,3.828055826,3.619306289,-2.411105053,-0.461738582,3.216039315,2.579259819,5.298213386,1.375529999,2.56555399,-2.005808115
spring,FR,A41,1.65438952,35.86738727,68.48426657,60.04973385,16.03219712,7.490930226,0,83.50013723,6.88344994,2.515198064,1,3,13,0.1875,0.178214219,0.179689006,4,104,0.465,0.207761905,3.833333334,4.366818182,12.2,10.91153846,61,21.09302326,2.5,4.639772727,4.325,12.62954545,0.1869375,7.503495,1.488726267,1.869618614,1.682220762,1.540724495,1.286407171,0,1.324633867,4.312101783,1.796570046,6.108338156,7.186280184,4.31176811,1.437256037,0,1.077942028,0.718628018,98.36959711,99.29205088,142.8853965,120.2979816,67.89818856,0,170.8957206,96.98709736,4.000395164,1.744182693,14.25105057,1.636844324,0.707688802,0,76.05832971,1.889655372,1.395947979,-2.097401638,-0.76865699,1.691048459,2.380363815,4.867463699,0.844716214,1.714556747,-2.083253067
spring,FR,A44,1.68314731,54.61207975,52.46437101,61.67860594,16.95626184,7.963455094,0,76.21869544,5.944189175,2.53772456,0,1,5,0.166666667,0,0.18679696,7,48,0.35,0.23,5.133333335,5.803921568,6,8.941176471,160,38.94117647,2,2.035294118,2,4.470588235,0.34,2.439962353,1.516393741,1.656584046,1.825313404,1.580872727,1.412529789,0,1.300815479,6.914827166,2.53772456,7.613173681,6.525577441,4.35038496,1.45012832,0,0.36253208,0.36253208,120.027347,107.1221133,127.3759709,137.3004397,64.13834826,0,NA,NA,2.275940706,34.38147918,5.070189587,31.05973968,0.737135997,0,NA,NA,1.964966386,-2.282230251,-1.055352092,2.168673824,1.729058272,6.26029277,0.651650021,0.746134209,-1.238298734
spring,R,A45,1.682966282,69.04724413,39.02237721,63.40082522,21.74229473,5.99809898,0,65.42986003,6.069737513,2.585788733,1,3,17,0.15,0.214690084,0.162008315,10,231,0.6,0.53739759,8.583333333,10.86933333,15.5,8.176829268,86.66666667,42.91666667,2.933333333,7.271764706,7.7,8.410588235,0.141916667,2.694288312,1.445547416,1.602433607,1.71948266,1.524969606,1.552731036,0,1.52392034,6.961276692,3.693983904,9.234959761,7.757366199,4.802179076,2.216390343,0,1.108195171,0.36939839,119.184646,107.2482014,133.2323624,111.6963244,118.9221074,0,165.7796249,NA,6.349084381,21.37663582,2.116581201,4.36982818,4.740711219,0,2.030350315,NA,2.329299228,-2.45243014,-0.512132562,3.129864639,2.595939295,5.362332959,0.978328675,2.548539287,-2.517058818
spring,FR,A46,1.720410146,76.67240615,31.75142793,60.76539556,21.38916742,14.18334408,0,54.7680202,5.95576712,2.636678557,1,3,8,0.272727273,0.119753165,0.162440838,38,119,0.391428571,0.239090909,4.425714286,3.447333333,9.742857143,8.715909091,19.92857143,18.5,5.321428571,4.408333333,6.767857143,4.635,0.328857143,1.106001429,1.423648499,1.65829265,1.657634206,1.487148274,1.521355235,0,1.566564255,6.831519707,5.650025479,8.663372401,8.286704036,4.896688748,3.766683653,0,1.130005096,0.376668365,116.84181,124.9325426,120.5429905,110.3495561,66.50054818,0,154.7055684,NA,2.209602676,24.38196882,4.479332467,1.530242614,1.583753789,0,1.974354365,NA,3.704555885,-1.545688979,-0.942364787,1.920328156,2.175958133,3.380643862,1.443656805,2.353104237,-1.282118882
spring,FR,A47,1.675691126,76.32832411,24.74315327,82.83006368,26.09343107,22.93952657,0,17.70991367,6.498845089,2.722217984,1,1,7,0.125,0,0.15475978,4,248,0.8,0.8252,6.666666667,24.24842767,20,11.74038462,100,91.15384615,3,5.849056604,6.9,5.590566038,0.047875,28.61470189,1.43204154,1.70763473,1.795972939,1.542170309,1.618157484,0,1.58338284,6.535872428,6.222212535,7.388877386,6.999989102,5.055547685,4.666659401,0,1.555553134,0.388888283,119.1312373,106.7063601,179.1473002,97.26373582,113.3186602,0,106.005128,NA,1.733950137,24.60841014,2.179995327,1.595997608,2.212106833,0,1.436122116,NA,1.395947979,-2.758195665,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,R,A48,1.662298065,75.01458919,23.2865031,85.11526052,26.66690115,23.06254224,0,15.79050753,6.426844745,2.741194272,1,3,14,0.176470588,0.195614225,0.166548314,27,122,0.904,0.378108108,27.33333333,15.44385965,5.875,9.171052632,55,50.15789474,7.875,4.960526316,11.81666667,7.265789474,3.368045833,1.215250526,1.4334582,1.635776257,1.776554783,1.553773946,1.644107011,0,1.546145708,6.240136883,6.265586908,8.223582817,7.048785272,5.090789363,4.307591,0,2.349595091,0.391599182,119.3180587,125.8737477,194.8533873,95.47042696,104.2938287,0,117.6841687,NA,1.372976212,28.86250503,2.633647993,1.596156266,0.923086764,0,49.25769142,NA,3.350751204,-2.191828592,-0.100976866,5.997760724,1.709452712,4.72419875,1.723759433,3.236523466,1.047326046
spring,FR,A51,1.65021231,68.73246876,23.47971006,90.55291461,27.97376166,23.53398167,0,12.69232189,6.552393083,2.761150048,2,3,12,0.2,0.116397141,0.164405615,9,70,0.43,0.269444444,4.038666667,20.87314815,10.4,8.085714286,31.4,30.05714286,4.9,3.505714286,6.78,3.835714286,0.325175,0.11936,1.551994898,1.652542486,1.685241711,1.582500659,1.64365281,0,1.775974486,6.213152918,6.705650115,7.889000136,7.889000136,5.522300095,4.733400081,0,1.972250034,0.394450007,140.1860714,119.1505701,236.6439499,103.5928201,109.8067654,0,80.75932083,NA,7.791885369,24.00924814,24.24657184,3.777923909,1.658259806,0,3.578546997,NA,2.221541328,-1.998500785,-0.847541538,1.773051066,2.235470688,3.968892126,1.382134522,2.355783139,-1.297008918
spring,R,A52,1.64990285,70.20684765,23.44171993,90.39009977,27.71542877,23.20075395,0,13.32223444,6.515850195,2.747328927,0,1,7,0.125,0,0.181305538,2,211,0.35,1.323974359,5.133333333,36.90731707,6,18.44512195,160,225.2439024,2,8.768292683,2,3.679878049,0.34,1.638123457,1.518693992,1.662303614,1.781844722,1.597819321,1.654064452,0,1.585764886,6.242796631,6.672084538,7.45703566,7.064560099,5.494657855,4.317231172,0,1.962377805,0.392475561,140.2678833,114.6832622,213.2634623,104.2520702,103.5050783,0,85.23311299,NA,2.945785921,24.57036788,2.120973206,5.211283049,0.927787185,0,8.689634584,NA,0.695555006,-2.758195665,-1.055352092,2.168673824,1.729058272,6.26029277,0.651650021,0.746134209,-1.238298734
spring,R,A53,1.669676361,61.21331729,21.30378007,91.95022782,27.93323885,26.54605635,0,14.85016133,6.83207281,2.792974501,1,1,4,0.2,0,0.187880421,7,49,0.75,0.769166667,10.66666667,34.66666667,20,10.2,45,76,6.5,13.71428571,9,13.91428571,0.03,3.484,1.572334024,1.624571108,1.803268798,1.555568419,1.628810199,0,1.628645099,5.953626115,5.585949003,8.378923504,5.98494536,7.979927147,5.186952645,0,1.595985429,0.398996357,112.4654745,127.2671846,238.8348968,120.5045516,100.4612841,0,98.93036979,NA,2.686491217,23.17665127,2.20614169,4.723865343,1.067323668,0,1.324927889,NA,1.964966386,-1.998500785,-0.288096274,3.587830706,2.823203625,4.449895074,1.589095448,2.792002213,-5.611245657
spring,R,A55,1.352773425,95.92146285,4.721268765,0,1.207000736,71.29264178,39.14466925,3.63619826,11.06960057,3.083797679,1,1,4,0.2,0,0.191348513,6,29,0.8,0.49375,6.666666666,224.52,20,9.583333333,100,21.66666667,3,9.583333333,6.9,15.93333333,0.047875,9.2432,1.45676808,1.740557754,0,1.523190069,1.3758064,1.335538325,1.489820372,2.338231143,24.67038143,4.845967782,0,0.440542526,12.77573324,11.89464819,0.881085051,0.881085051,136.6988622,107.0132459,0,NA,221.6877331,250.0083598,7.823907867,139.1578046,22.07436413,8.48499259,0,NA,6.463495171,9.41733111,0.155823542,5.493909376,1.807907781,-1.998500785,-0.223392702,2.636993601,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,R,A56,1.338938878,98.92340683,4.102572345,0,1.207000736,69.61999058,39.19749362,3.63619826,10.85938851,3.076300368,1,2,5,0.285714286,0.077419821,0.11394735,31,153,0.626923077,0.261052632,6.461538462,19.45024561,13.46153846,4.581521739,64.23076923,10.32608696,3.769230769,5.934782609,4.726923077,6.915217391,0.0985,0.319302174,1.478999767,1.794501064,0,1.523190069,1.341583884,1.336910343,1.489820372,2.315185096,22.85251702,4.394714811,0,0.439471481,11.42625851,11.86572999,0.878942962,0.878942962,131.6192804,118.2369476,0,NA,214.4947649,246.6790356,7.823907867,139.1142713,16.4207643,8.67253961,0,NA,6.364823682,2.432018318,0.155823542,5.48312964,3.493629287,-1.480866352,-0.468023254,2.578845216,2.469220319,4.939316631,1.180314316,1.836549301,-3.14004475
spring,R,A57,1.347571213,94.96845328,4.726695927,0,1.207000736,72.83902102,36.21219294,3.63619826,11.04535925,3.116167315,1,1,3,0.25,0,0.064412206,5,48,0.8,0.285729167,6.666666667,74.58333333,20,3.761904762,100,25.14285714,3,3.952380952,6.9,2.761904762,0.047875,0.134647619,1.449797262,1.740895027,0,1.523190069,1.39734602,1.34447152,1.489820372,2.33173227,25.81967204,4.896834353,0,0.445166759,13.35500278,11.57433574,0.890333519,0.890333519,141.6859328,106.8250425,0,NA,226.8098058,225.3297609,7.823907867,139.1527001,16.54922406,8.48930975,0,NA,6.674836898,2.844245581,0.155823542,5.495739883,1.622459127,-1.669058646,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,R,A58,1.328562925,95.42324942,5.73542436,0,0,74.93788531,35.05476028,3.63619826,11.31129017,2.653707049,1,4,11,0.266666667,0.140830554,0.161189934,30,134,0.451230769,0.246479592,8.289230768,37.53163265,10.03846154,4.760869565,27.76923077,34.47826087,6.038461538,3.438043478,8.153846154,2.373913043,0.172507692,0.213841667,1.439730134,1.7697254,0,0,1.393971878,1.403617999,1.489820372,2.422399986,24.76793246,7.518836639,0,0,12.38396623,13.26853524,0.884569016,0.884569016,133.2720507,117.4832197,0,0,203.6181417,229.6858116,7.823907867,139.2068941,5.167674707,7.31076208,0,0,6.188254825,18.87520706,0.155823542,5.477667003,3.459699473,-1.577285425,-0.798951103,3.059394976,2.203229753,3.807790402,1.536159888,2.636989707,-2.206658852
spring,FR,A63,1.309938088,111.852353,3.70638955,0,1.207000736,61.52628361,38.41706778,4.102210534,10.84491608,3.021718977,1,2,2,0.5,0.043510796,0.136838268,28,10,0.187,0.55,8.25,9.833333334,7.5,5.5,6.7,20.8,19,7.8,17.7,8.12,0.203,0.3442,1.557955173,2.017339048,0,1.523190069,1.361987601,1.319786075,1.446373702,2.385313632,19.42533628,2.590044838,0,0.43167414,10.36017935,13.38189833,1.295022419,0.863348279,126.9737283,81.59026711,0,NA,229.6103894,264.8091691,57.56026531,139.1112613,19.38057125,1.390492255,0,NA,7.979807873,38.26594301,1.011908894,5.4621394,3.388344273,-0.759533479,-1.690781268,3.049868943,1.935844463,2.054456661,2.285524729,3.944825523,-1.959172839
spring,FR,A64,1.462669723,113.7721209,38.07696566,0,0,49.05792259,6.088913484,34.92559383,11.1007163,2.371333117,1,1,1,0.5,0,0,1,2,0.8,0.25,6.666666667,0.866666667,20,5,100,6,3,11,6.9,17,0.047875,0.2,1.517956063,1.930997428,0,0,1.61577794,1.598545466,1.762577804,2.628935206,18.18022057,9.090110283,0,0,5.533110607,3.952221862,1.580888745,1.580888745,124.6293317,209.3458396,0,0,185.7140435,105.568355,144.7816688,173.4063999,28.74927589,6.792835197,0,0,7.278235071,4.145990455,0.953680389,2.860467163,0,-0.759533479,-0.223392702,2.636993602,2.823203625,5.567997134,0.996806682,2.38205524,-4.551312834
spring,R,A65,1.475706387,112.1175603,36.8457236,0,0,56.35817854,7.1743458,34.19943961,11.11193243,2.32732075,2,2,7,0.222222222,0.11579062,0.218453147,9,72,0.6325,0.55,6.541666667,209.9744444,17,7.166666667,76.75,18.33333333,7.25,12.25,9.675,16.62857143,0.08590625,0.38328,1.521230044,2.029948274,0,0,1.503629359,1.516227201,1.808606,2.549623808,17.06701883,8.145622624,0,0,6.206188666,3.878867916,1.551547166,1.551547166,116.7532104,193.5317882,0,0,211.797785,85.83113205,149.6605496,175.1055609,9.009552651,4.061503465,0,0,27.00923848,3.197643429,3.534264099,2.923597031,2.221541328,-1.840566946,-0.459125826,2.601704615,2.678568046,5.189529577,1.666298451,2.90760156,-3.388457865
